Corp.,기준가,수량,단가,대비,Low,High,L date,H (cf. L),H/L,F2,F3,F4,F5,F series,buy2(cf. H),buy3(cf. 2),buy4(cf. 3),sell(cf. buy),sell date,sell price,rbn rate,Unnamed: 22,50
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
와이즈버즈,1674.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
모비데이즈,1212.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
플레이디,6650.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
가온칩스,37500.0,14.184397163120567,35250.0,-0.06000000000000005,30700.0,39850,2023-06-30,3.0,0.2980456026058631,36483.0,35275.0,34067.0,32658.0,,2.0,,,,,,,,
마이크로투나노,23100.0,23.094688221709006,21650.0,-0.06277056277056281,18100.0,25250,2023-06-30,3.0,0.3950276243093922,22619.0,21675.0,20731.0,19630.0,,1.0,,,,,,,,
덕산하이메탈,9240.0,59.594755661501786,8390.0,-0.09199134199134196,6890.0,9890,2023-06-30,5.0,0.43541364296081286,8786.0,8390.0,7994.0,7532.0,,,,,,,,,,
칩스앤미디어,36400.0,14.245014245014245,35100.0,-0.0357142857142857,30600.0,42950,2023-06-30,3.0,0.40359477124182996,38405.0,36775.0,35145.0,33243.0,,1.0,1.0,,,,,,,
프로텍,56000.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
펨트론,16200.0,32.07184092366902,15590.0,-0.03765432098765431,13380.0,19410,2023-06-29,3.0,0.4506726457399104,17191.0,16395.0,15599.0,14670.0,,2.0,1.0,,,,,,,
기가비스,92200.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
티에프이,22200.0,25.974025974025974,19250.0,-0.13288288288288286,15580.0,22950,2023-07-04,3.0,0.47304236200256744,20238.0,19265.0,18292.0,17157.0,,,,,,,,,,
이수페타시스,29400.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
루닛,183100.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
뷰노,31700.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
지니너스,3335.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
인성정보,3500.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
큐렉소,18800.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
미래컴퍼니,35700.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
신성이엔지,2600.0,206.18556701030928,2425.0,-0.06730769230769229,2070.0,3035,2023-06-27,4.0,0.4661835748792271,2680.0,2553.0,2425.0,2277.0,,2.0,1.0,,,,,,,
케이엔솔,11880.0,44.40497335701598,11260.0,-0.05218855218855223,9990.0,13460,2023-06-28,3.0,0.3473473473473474,12183.0,11725.0,11267.0,10733.0,,2.0,1.0,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
